projector,param_group,param_name,step,rank,rank_energy,rank_90,rank_95,rank_99,effective_rank,mean_angle,max_angle,adaptive_rank,temperature,candidate_count
stochastic_lotus,q_proj,q_proj/layer10,600,8,0.9330437779426575,7,10,14,4.920534610748291,63.387558460235596,84.96082305908203,,1.944210267404431,16
stochastic_lotus,q_proj,q_proj/layer10,900,8,0.8530847430229187,10,13,16,7.351812362670898,65.50160121917725,88.57926940917969,,2.9825863374834576,16
stochastic_lotus,q_proj,q_proj/layer10,1200,8,0.8458335399627686,11,13,16,6.669102191925049,64.53787994384766,88.44744873046875,,3.8513333512423533,16
stochastic_lotus,q_proj,q_proj/layer11,1,8,0.9418057799339294,6,9,14,4.214827537536621,,,,1.886622651696678,16
stochastic_lotus,q_proj,q_proj/layer11,1,8,0.9418057799339294,6,9,14,4.214827537536621,,,,1.886622651696678,16
stochastic_lotus,q_proj,q_proj/layer11,1,8,0.9418057799339294,6,9,14,4.214827537536621,,,,1.886622651696678,16
stochastic_lotus,q_proj,q_proj/layer11,1,8,0.9418057799339294,6,9,14,4.214827537536621,,,,1.886622651696678,16
stochastic_lotus,q_proj,q_proj/layer11,300,8,0.9284892678260803,7,10,15,4.241100311279297,61.773130893707275,88.11597442626953,,2.0957141364995415,16
stochastic_lotus,q_proj,q_proj/layer11,300,8,0.8867148756980896,9,12,15,6.4219183921813965,60.32699394226074,88.62269592285156,,2.509567302166423,16
stochastic_lotus,q_proj,q_proj/layer11,600,8,0.940410852432251,6,9,14,4.686938285827637,65.41581296920776,87.53224182128906,,1.6825785687818038,16
stochastic_lotus,q_proj,q_proj/layer11,900,8,0.9093441963195801,8,11,15,6.278855800628662,65.24539756774902,89.04269409179688,,1.7335341576533427,16
stochastic_lotus,q_proj,q_proj/layer11,1200,8,0.9104591608047485,8,11,15,5.285861968994141,59.575857639312744,84.93961334228516,,2.2519776364479007,16
stochastic_lotus,q_proj,q_proj/layer12,1,8,0.8930191993713379,9,12,15,6.821589946746826,,,,2.0272399010132705,16
stochastic_lotus,q_proj,q_proj/layer12,1,8,0.8930191993713379,9,12,15,6.821589946746826,,,,2.0272399010132705,16
stochastic_lotus,q_proj,q_proj/layer12,1,8,0.8930191993713379,9,12,15,6.821589946746826,,,,2.0272399010132705,16
stochastic_lotus,q_proj,q_proj/layer12,1,8,0.8930191993713379,9,12,15,6.821589946746826,,,,2.0272399010132705,16
stochastic_lotus,q_proj,q_proj/layer12,300,8,0.8963510394096375,9,12,15,5.758868217468262,68.09578275680542,86.66017150878906,,2.543145769707714,16
stochastic_lotus,q_proj,q_proj/layer12,300,8,0.8697925806045532,10,12,15,7.276763916015625,68.16207647323608,88.30438232421875,,2.6682934497164847,16
stochastic_lotus,q_proj,q_proj/layer12,600,8,0.9108203053474426,8,11,15,6.1804633140563965,71.6814637184143,87.37291717529297,,2.0084094789002407,16
stochastic_lotus,q_proj,q_proj/layer12,900,8,0.8395945429801941,11,13,16,9.027430534362793,68.44454050064087,86.81539154052734,,2.894471529813249,16
stochastic_lotus,q_proj,q_proj/layer12,1200,8,0.8548871874809265,10,13,16,7.965802192687988,70.62631320953369,82.65389251708984,,3.017088884401712,16
stochastic_lotus,q_proj,q_proj/layer13,1,8,0.8670126795768738,10,12,15,8.725543975830078,,,,2.318144871952452,16
stochastic_lotus,q_proj,q_proj/layer13,1,8,0.8670126795768738,10,12,15,8.725543975830078,,,,2.318144871952452,16
stochastic_lotus,q_proj,q_proj/layer13,1,8,0.8670126795768738,10,12,15,8.725543975830078,,,,2.318144871952452,16
stochastic_lotus,q_proj,q_proj/layer13,1,8,0.8670126795768738,10,12,15,8.725543975830078,,,,2.318144871952452,16
stochastic_lotus,q_proj,q_proj/layer13,300,8,0.9316650629043579,7,10,15,3.4579696655273438,62.527705669403076,89.53458404541016,,2.78715219020584,16
stochastic_lotus,q_proj,q_proj/layer13,300,8,0.8755713105201721,10,12,15,6.865089416503906,65.70773029327393,89.6341323852539,,2.6352065755827967,16
stochastic_lotus,q_proj,q_proj/layer13,600,8,0.9416914582252502,6,9,14,4.291172981262207,67.9781665802002,89.5874252319336,,1.5697877393760782,16
stochastic_lotus,q_proj,q_proj/layer13,900,8,0.8624155521392822,10,12,15,7.944862365722656,65.65616273880005,87.93590545654297,,2.6160701982225834,16
stochastic_lotus,q_proj,q_proj/layer13,1200,8,0.8480244278907776,10,13,16,8.739215850830078,66.83909130096436,89.363037109375,,2.6313706376936707,16
stochastic_lotus,q_proj,q_proj/layer14,1,8,0.8956862688064575,9,12,15,6.501829147338867,,,,1.696391271936177,16
stochastic_lotus,q_proj,q_proj/layer14,1,8,0.8956862688064575,9,12,15,6.501829147338867,,,,1.696391271936177,16
stochastic_lotus,q_proj,q_proj/layer14,1,8,0.8956862688064575,9,12,15,6.501829147338867,,,,1.696391271936177,16
stochastic_lotus,q_proj,q_proj/layer14,1,8,0.8956862688064575,9,12,15,6.501829147338867,,,,1.696391271936177,16
stochastic_lotus,q_proj,q_proj/layer14,300,8,0.8763901591300964,9,12,15,6.760720729827881,71.08537101745605,88.72547912597656,,2.818025797916391,16
stochastic_lotus,q_proj,q_proj/layer14,300,8,0.8596497774124146,10,13,16,7.4884419441223145,69.5441312789917,89.91520690917969,,2.8761526260836927,16
stochastic_lotus,q_proj,q_proj/layer14,600,8,0.9336084127426147,7,10,14,4.866942405700684,68.91766262054443,84.5347900390625,,1.784853927025544,16
stochastic_lotus,q_proj,q_proj/layer14,900,8,0.8430887460708618,11,13,16,8.158231735229492,67.12737894058228,88.78392028808594,,2.917579935473942,16
stochastic_lotus,q_proj,q_proj/layer14,1200,8,0.8423876166343689,11,13,16,8.391809463500977,66.52994680404663,89.8038101196289,,3.0627498129425854,16
stochastic_lotus,q_proj,q_proj/layer15,1,8,0.8786616325378418,9,12,15,6.897726058959961,,,,2.4206679900239956,16
stochastic_lotus,q_proj,q_proj/layer15,1,8,0.8786616325378418,9,12,15,6.897726058959961,,,,2.4206679900239956,16
stochastic_lotus,q_proj,q_proj/layer15,1,8,0.8786616325378418,9,12,15,6.897726058959961,,,,2.4206679900239956,16
stochastic_lotus,q_proj,q_proj/layer15,1,8,0.8786616325378418,9,12,15,6.897726058959961,,,,2.4206679900239956,16
stochastic_lotus,q_proj,q_proj/layer15,300,8,0.8258532285690308,11,13,16,8.767706871032715,67.73928880691528,88.71817779541016,,3.3516114519640507,16
stochastic_lotus,q_proj,q_proj/layer15,300,8,0.8442707657814026,11,13,16,8.168535232543945,63.93553686141968,86.68461608886719,,2.9246900131980036,16
stochastic_lotus,q_proj,q_proj/layer15,600,8,0.9107241630554199,8,11,15,5.329348564147949,70.1298885345459,89.09355926513672,,2.3548867690717956,16
stochastic_lotus,q_proj,q_proj/layer15,900,8,0.8424385786056519,11,13,16,8.348259925842285,64.57889938354492,88.3173599243164,,3.0242253370730268,16
stochastic_lotus,q_proj,q_proj/layer15,1200,8,0.8184558153152466,11,13,16,9.913412094116211,65.34228467941284,88.637451171875,,3.125961794971318,16
stochastic_lotus,q_proj,q_proj/layer16,1,8,0.925479531288147,7,10,15,4.082999229431152,,,,2.508618123015049,16
stochastic_lotus,q_proj,q_proj/layer16,1,8,0.925479531288147,7,10,15,4.082999229431152,,,,2.508618123015049,16
stochastic_lotus,q_proj,q_proj/layer16,1,8,0.925479531288147,7,10,15,4.082999229431152,,,,2.508618123015049,16
